Year,Player,Team
2024,Blake Snell,SFG
2024,Dylan Cease,SDP
2024,Ronel Blanco,HOU
2023,Michael Lorenzen,PHI
2023,Framber Valdez,HOU
2023,Domingo GermAn,NYY
2022,Reid Detmers,LAA
2021,Tyler Gilbert,ARI
2021,Corey Kluber,NYY
2021,Spencer Turnbull,DET
2021,Wade Miley,CIN
2021,John Means,BAL
2021,Carlos RodA3n,CHW
2021,Joe Musgrove,SDP
2020,Alec Mills,CHC
2020,Lucas Giolito,CHW
2019,Justin Verlander,HOU
2019,Mike Fiers,OAK
2018,James Paxton,SEA
2018,Sean Manaea,OAK
2017,Edinson VA3lquez,MIA
2016,Jake Arrieta,CHC
2015,Max Scherzer,WSN
2015,Jake Arrieta,CHC
2015,Mike Fiers,HOU
2015,Hisashi Iwakuma,SEA
2015,Cole Hamels,PHI
2015,Max Scherzer,WSN
2015,Chris Heston,SFG
2014,Jordan Zimmermann,WSN
2014,Tim Lincecum,SFG
2014,Clayton Kershaw,LAD
2014,Josh Beckett,LAD
2013,Henderson Alvarez III,MIA
2013,Tim Lincecum,SFG
2013,Homer Bailey,CIN
2012,Homer Bailey,CIN
2012,FAlix HernAndez,SEA
2012,Matt Cain,SFG
2012,Johan Santana,NYM
2012,Jered Weaver,LAA
2012,Philip Humber,CHW
2011,Ervin Santana,LAA
2011,Justin Verlander,DET
2011,Francisco Liriano,MIN
2010,Roy Halladay,PHI
2010,Matt Garza,TBR
2010,Edwin Jackson,ARI
2010,Roy Halladay,PHI
2010,Dallas Braden,OAK
2010,Ubaldo JimAnez,COL
2009,Mark Buehrle,CHW
2009,Jonathan SAnchez,SFG
2008,Carlos Zambrano,CHC
2008,Jon Lester,BOS
2007,Clay Buchholz,BOS
2007,Justin Verlander,DET
2007,Mark Buehrle,CHW
2006,AnAbal SAnchez,FLA
2004,Randy Johnson,ARI
2003,Kevin Millwood,PHI
2002,Derek Lowe,BOS
2001,Bud Smith,STL
2001,A.J. Burnett,FLA
2001,Hideo Nomo,BOS
1999,Eric Milton,MIN
1999,David Cone,NYY
1999,JosA JimAnez,STL
1998,David Wells,NYY
1997,Kevin Brown,FLA
1996,Hideo Nomo,LAD
1996,Dwight Gooden,NYY
1996,Al Leiter,FLA
1995,RamA3n MartAnez,LAD
1994,Kenny Rogers,TEX
1994,Scott Erickson,MIN
1994,Kent Mercker,ATL
1993,Darryl Kile,HOU
1993,Jim Abbott,NYY
1993,Chris Bosio,SEA
1992,Kevin Gross,LAD
1991,Bret Saberhagen,KCR
1991,Wilson Alvarez,CHW
1991,Dennis MartAnez,MON
1991,Tommy Greene,PHI
1991,Nolan Ryan,TEX
1990,Dave Stieb,TOR
1990,Terry Mulholland,PHI
1990,Dave Stewart,OAK
1990,Fernando Valenzuela,LAD
1990,Nolan Ryan,TEX
1990,Randy Johnson,SEA
1988,Tom Browning,CIN
1987,Juan Nieves,MIL
1986,Mike Scott,HOU
1986,Joe Cowley,CHW
1984,Mike Witt,CAL
1984,Jack Morris,DET
1983,Mike Warren,OAK
1983,Bob Forsch,STL
1983,Dave Righetti,NYY
1981,Nolan Ryan,HOU
1981,Len Barker,CLE
1981,Charlie Lea,MON
1980,Jerry Reuss,LAD
1979,Ken Forsch,HOU
1978,Tom Seaver,CIN
1978,Bob Forsch,STL
